x,Baseline,Axis,AttackType,AttackActive,AbsResidual,Threshold_static_global,PointExceed_static_global,WindowCount_static_global,WindowDetection_static_global,Threshold_scenario_specific,PointExceed_scenario_specific,WindowCount_scenario_specific,WindowDetection_scenario_specific,Threshold_yaw_static_global,PointExceed_yaw_static_global,WindowCount_yaw_static_global,WindowDetection_yaw_static_global
3.900106,baseline_01_hover,Yaw,ramp,0,9.613037104827526e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.000066,baseline_01_hover,Yaw,ramp,0,0.0002059936523437,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.100026,baseline_01_hover,Yaw,ramp,0,0.0001510620116391,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.199986,baseline_01_hover,Yaw,ramp,0,0.0001922607422102,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.299946,baseline_01_hover,Yaw,ramp,0,8.239746097160605e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.399906,baseline_01_hover,Yaw,ramp,0,0.0001647949218863,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.499866,baseline_01_hover,Yaw,ramp,0,0.0001098632812954,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.599826,baseline_01_hover,Yaw,ramp,0,8.239746097160605e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.699786,baseline_01_hover,Yaw,ramp,0,0.0,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.799746,baseline_01_hover,Yaw,ramp,0,0.0001922607421533,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.899706,baseline_01_hover,Yaw,ramp,0,0.0001785278320198,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
4.999666,baseline_01_hover,Yaw,ramp,0,5.493164064773737e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.099626,baseline_01_hover,Yaw,ramp,0,8.239746097160605e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.199586,baseline_01_hover,Yaw,ramp,0,5.493164059089395e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.299546,baseline_01_hover,Yaw,ramp,0,4.119873045738132e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.399506,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.499466,baseline_01_hover,Yaw,ramp,0,1.3732910133512632e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.599426,baseline_01_hover,Yaw,ramp,0,8.239746091476263e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.699386,baseline_01_hover,Yaw,ramp,0,0.0003295898437727,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.799346,baseline_01_hover,Yaw,ramp,0,0.0003707885742301,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
5.899306,baseline_01_hover,Yaw,ramp,0,0.0003295898437727,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.000099,baseline_01_hover,Yaw,ramp,0,0.0002197265624204,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.100059,baseline_01_hover,Yaw,ramp,0,2.7465820380712103e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.200019,baseline_01_hover,Yaw,ramp,0,4.119873045738132e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.299979,baseline_01_hover,Yaw,ramp,0,5.493164064773737e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.399939,baseline_01_hover,Yaw,ramp,0,0.0001647949218295,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.499899,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.599859,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.699819,baseline_01_hover,Yaw,ramp,0,0.0001373291015625,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.799779,baseline_01_hover,Yaw,ramp,0,0.0001235961914289,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.899739,baseline_01_hover,Yaw,ramp,0,8.239746097160605e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
6.999699,baseline_01_hover,Yaw,ramp,0,6.866455072440658e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
7.099659,baseline_01_hover,Yaw,ramp,0,6.866455078125e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
7.199619,baseline_01_hover,Yaw,ramp,0,2.7465820323868684e-05,0.013596,0,0.0,0,0.013596,0,0.0,0,0.013596,0,0.0,0
