baseline_file,target,model,source_prediction_csv,residual_csv,time_source,n,mean,std,mae,rmse,max_abs,p95_abs,p99_abs,p995_abs,mean_abs,std_abs,mean_abs_plus_3std_abs,recommended_threshold,recommended_threshold_method
baseline_03_forward_motion,Yaw,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Yaw_clean_residuals_v9.csv,t_Roll,227,-0.0003864842889863957,0.0008366011520144966,0.0006188077548685242,0.0009198849529807062,0.00341796875,0.002065277099563899,0.003050201416029953,0.003157516479513447,0.0006188077548685242,0.0006821401143807892,0.002665228098010892,0.003050201416029953,p99_abs
baseline_03_forward_motion,Yaw,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Yaw,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_03_forward_motion,Yaw,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_03_forward_motion_Yaw_clean_residuals_v9.csv,t_Roll,227,-0.008145421105205119,0.004442555972502109,0.00819799235779754,0.009273469926696806,0.019731484905491925,0.013524804398110745,0.01820086782298063,0.01918947774994479,0.00819799235779754,0.004344342080144698,0.021231018598231635,0.01820086782298063,p99_abs
baseline_04_yaw_rotation,Yaw,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_04_yaw_rotation_Yaw_clean_residuals_v9.csv,t_Roll,369,0.00035093767531926584,0.0013123551759187846,0.001012544709488284,0.0013567482982458955,0.004317474365251428,0.0030197143554460126,0.0037968139648285157,0.0038593444824209684,0.001012544709488284,0.0009042871450726709,0.003725406144706297,0.0037968139648285157,p99_abs
baseline_04_yaw_rotation,Yaw,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_04_yaw_rotation_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_04_yaw_rotation,Yaw,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_04_yaw_rotation_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_04_yaw_rotation,Yaw,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_04_yaw_rotation_Yaw_clean_residuals_v9.csv,t_Roll,369,-0.02124439647598612,0.008750340443369918,0.02196114784040738,0.022971402589043184,0.0570000849614587,0.028374940397571886,0.03431124838592835,0.04312085871418758,0.02196114784040738,0.006746604617090227,0.04220096169167806,0.03431124838592835,p99_abs
baseline_05_mixed_maneuver,Roll,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Roll_clean_residuals_v9.csv,t_Roll,477,-1.2369271937855399e-05,0.003155910829715178,0.001975363532014864,0.0031526252768767173,0.013453144952654705,0.007326378673315106,0.01030700203403828,0.010756980922073152,0.001975363532014864,0.0024596072439508096,0.009354185263867292,0.01030700203403828,p99_abs
baseline_05_mixed_maneuver,Roll,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Roll,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Roll_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Roll,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Roll_clean_residuals_v9.csv,t_Roll,477,0.005803132966183798,0.005543392650583116,0.006568549696120196,0.008021292445389057,0.02510302010261531,0.01213777065999368,0.01762534144467227,0.023051586127301585,0.006568549696120196,0.0046086674102963,0.020394551927009095,0.01762534144467227,p99_abs
baseline_05_mixed_maneuver,Pitch,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Pitch_clean_residuals_v9.csv,t_Roll,477,-1.1009201251193843e-05,0.0028885911633172792,0.0018444373438318334,0.0028855827028484472,0.011989358812570697,0.006343323737382854,0.009696678295731622,0.010861029624938852,0.0018444373438318334,0.002221482455183838,0.008508884709383347,0.009696678295731622,p99_abs
baseline_05_mixed_maneuver,Pitch,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Pitch,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Pitch_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Pitch,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Pitch_clean_residuals_v9.csv,t_Roll,477,0.030852329305753955,0.03302088351921601,0.0340528756097155,0.04516590597623999,0.1498392115389242,0.07159897048929409,0.11420517512099378,0.1372076985528738,0.0340528756097155,0.02970202388198468,0.12315894725566955,0.11420517512099378,p99_abs
baseline_05_mixed_maneuver,Yaw,hybrid,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Yaw_clean_residuals_v9.csv,t_Roll,477,0.00022240404812794813,0.0017176356023892866,0.001323500019449358,0.0017301880147787135,0.0057525634765625,0.0037078857421875,0.004794921875,0.004841766357421875,0.001323500019449358,0.0011155748719695803,0.004670224635358099,0.004794921875,p99_abs
baseline_05_mixed_maneuver,Yaw,naive,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Yaw,constant_velocity,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Yaw_clean_residuals_v9.csv,t_Roll,0,,,,,,,,,,,,,unavailable
baseline_05_mixed_maneuver,Yaw,arx,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,/home/tchowdh4/sensor_recovery_project/residual_results_v9/baseline_05_mixed_maneuver_Yaw_clean_residuals_v9.csv,t_Roll,477,0.0005061219359988383,0.0021080745667363654,0.0014859625589389784,0.0021658303895970878,0.007310504959178843,0.0049618539896869145,0.006640306448363163,0.006842467843052305,0.0014859625589389784,0.0015773244380982282,0.006217935873233663,0.006640306448363163,p99_abs
