path,file,n_columns,columns,true,pred,attacked,recovered,residual,detected,threshold,rmse,mae,improvement
/home/tchowdh4/sensor_recovery_project/logs/recovered_csv/baseline_05_mixed_maneuver_IMU_ATTACKED_IMU_recovered.csv,baseline_05_mixed_maneuver_IMU_ATTACKED_IMU_recovered.csv,23,timestamp | TimeUS | I | GyrX | GyrY | GyrZ | AccX | AccY | AccZ | EG | EA | T | GH | AH | GHz | AHz | TimeSec | AttackActive_IMU | GyrZ_attacked | SoftwareSensor_GyrZ | Residual_GyrZ | DetectionFlag_GyrZ | Recovered_GyrZ,0,1,1,1,1,1,0,0,0,0
/home/tchowdh4/sensor_recovery_project/phase1_audit/att_files_found.csv,att_files_found.csv,10,file | type_guess | rows | columns_count | has_TimeUS | has_TimeSec | duration_sec | has_ATT_required_RollPitchYaw | ATT_optional_available | columns,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/phase1_audit/csv_audit_summary.csv,csv_audit_summary.csv,10,file | type_guess | rows | columns_count | has_TimeUS | has_TimeSec | duration_sec | has_ATT_required_RollPitchYaw | ATT_optional_available | columns,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/phase6_final_package/tables/phase6_best_cases.csv,phase6_best_cases.csv,10,file | target | attacked_rmse | recovered_rmse | rmse_improvement_percent | attacked_mae | recovered_mae | mae_improvement_percent | rmse_improved | mae_improved,0,0,1,1,0,0,0,1,1,1
/home/tchowdh4/sensor_recovery_project/phase6_final_package/tables/phase6_overall_metrics.csv,phase6_overall_metrics.csv,2,Metric | Value,0,0,0,0,0,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/phase6_final_package/tables/phase6_per_file_metrics.csv,phase6_per_file_metrics.csv,10,file | target | attacked_rmse | recovered_rmse | rmse_improvement_percent | attacked_mae | recovered_mae | mae_improvement_percent | rmse_improved | mae_improved,0,0,1,1,0,0,0,1,1,1
/home/tchowdh4/sensor_recovery_project/phase6_final_package/tables/phase6_per_target_metrics.csv,phase6_per_target_metrics.csv,10,target | files | mean_attacked_rmse | mean_recovered_rmse | mean_rmse_improvement_percent | mean_attacked_mae | mean_recovered_mae | mean_mae_improvement_percent | rmse_improved_files | mae_improved_files,0,0,1,1,0,0,0,1,1,1
/home/tchowdh4/sensor_recovery_project/phase6_final_package/tables/phase6_worst_cases.csv,phase6_worst_cases.csv,10,file | target | attacked_rmse | recovered_rmse | rmse_improvement_percent | attacked_mae | recovered_mae | mae_improvement_percent | rmse_improved | mae_improved,0,0,1,1,0,0,0,1,1,1
/home/tchowdh4/sensor_recovery_project/prediction_results/baseline_01_hover_ATT_future_prediction_test_outputs.csv,baseline_01_hover_ATT_future_prediction_test_outputs.csv,18,t_test_Roll | Roll_true_future | Roll_predicted_future_system_id | Roll_naive_previous_value | Roll_prediction_error | Roll_naive_error | t_test_Pitch | Pitch_true_future | Pitch_predicted_future_system_id | Pitch_naive_previous_value | Pitch_prediction_error | Pitch_naive_error | t_test_Yaw | Yaw_true_future | Yaw_predicted_future_system_id | Yaw_naive_previous_value | Yaw_prediction_error | Yaw_naive_error,1,1,0,0,1,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/prediction_results/baseline_01_hover_XKF1_future_prediction_test_outputs.csv,baseline_01_hover_XKF1_future_prediction_test_outputs.csv,18,t_test_Roll | Roll_true_future | Roll_predicted_future_system_id | Roll_naive_previous_value | Roll_prediction_error | Roll_naive_error | t_test_Pitch | Pitch_true_future | Pitch_predicted_future_system_id | Pitch_naive_previous_value | Pitch_prediction_error | Pitch_naive_error | t_test_Yaw | Yaw_true_future | Yaw_predicted_future_system_id | Yaw_naive_previous_value | Yaw_prediction_error | Yaw_naive_error,1,1,0,0,1,0,0,0,0,0
/home/tchowdh4/sensor_recovery_project/prediction_results/baseline_02_high_altitude_hover_ATT_future_prediction_test_outputs.csv,baseline_02_high_altitude_hover_ATT_future_prediction_test_outputs.csv,18,t_test_Roll | Roll_true_future | Roll_predicted_future_system_id | Roll_naive_previous_value | Roll_prediction_error | Roll_naive_error | t_test_Pitch | Pitch_true_future | Pitch_predicted_future_system_id | Pitch_naive_previous_value | Pitch_prediction_error | Pitch_naive_error | t_test_Yaw | Yaw_true_future | Yaw_predicted_future_system_id | Yaw_naive_previous_value | Yaw_prediction_error | Yaw_naive_error,1,1,0,0,1,0,0,0,0,0
