timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1778788607.15922213,280344484,0,0.06,0.12,82.96,-0.015503532253205776,-0.018050841987133026,0.5005167722702026,0.49993589520454407,5.923755645751953,-0.7616181373596191,-3.6580750942230225,0.21,0.21,0.19,584.09
1778788607.15922213,280344484,1,0.07,0.12,82.97,-0.016469741240143776,-0.018244929611682892,0.5002533793449402,0.5014420747756958,5.923219203948975,-0.7617671489715576,-3.6467015743255615,0.21,0.21,0.19,584.08
1778788607.26001501,280445277,0,0.07,0.12,82.96,-0.015491679310798645,-0.018386630341410637,0.5004679560661316,0.49988511204719543,5.924022674560547,-0.7613863945007324,-3.6076855659484863,0.21,0.21,0.19,584.09
1778788607.26001501,280445277,1,0.07,0.12,82.97,-0.01650228537619114,-0.018510309979319572,0.5002483129501343,0.5015491247177124,5.923458576202393,-0.7615392208099365,-3.596587657928467,0.21,0.21,0.19,584.08
1778788607.35997510,280545237,0,0.06,0.12,82.96,-0.015383626334369183,-0.018729938194155693,0.500452995300293,0.4998325705528259,5.924394130706787,-0.7612394094467163,-3.5577213764190674,0.21,0.21,0.19,584.09
1778788607.35997510,280545237,1,0.07,0.12,82.97,-0.016454100608825684,-0.018736911937594414,0.5002463459968567,0.501474916934967,5.923791408538818,-0.7613919377326965,-3.5464766025543213,0.21,0.21,0.19,584.08
1778788607.45993495,280645197,0,0.07,0.11,82.96,-0.015267464332282543,-0.018919510766863823,0.5004503130912781,0.4998573362827301,5.924907207489014,-0.7610863447189331,-3.5081727504730225,0.21,0.21,0.19,584.09
1778788607.45993495,280645197,1,0.07,0.11,82.97,-0.016328629106283188,-0.018960025161504745,0.5002729296684265,0.5012159943580627,5.924262523651123,-0.7612459659576416,-3.4963903427124023,0.21,0.21,0.19,584.08
1778788607.55989504,280745157,0,0.08,0.12,82.96,-0.015343120321631432,-0.01920151710510254,0.5005797743797302,0.5001068115234375,5.925412178039551,-0.7610344886779785,-3.4581892490386963,0.21,0.21,0.19,584.09
1778788607.55989504,280745157,1,0.08,0.12,82.97,-0.016454221680760384,-0.019277939572930336,0.5005008578300476,0.5010181665420532,5.924745559692383,-0.7611831426620483,-3.446324110031128,0.21,0.21,0.19,584.08
