t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
169.000706,240144737,-0.1817581206560135,-0.0737937167286872,172.58688354492188,-0.031534656882286,0.035613615065813,0.0277923420071601,0.09,0.07,172.57,0.0128480521962046,-0.0237147007137537,0.0044572041369974,0.18,0.18,0.16
169.100666,240244697,-0.1991899609565735,-0.089297279715538,172.58694458007812,-0.0317107550799846,0.0355841740965843,0.0274342056363821,0.09,0.07,172.57,0.0128540815785527,-0.0235596075654029,0.0041602374985814,0.18,0.18,0.16
169.200626,240344657,-0.2115957289934158,-0.1001606062054634,172.58702087402344,-0.0318406894803047,0.0355150215327739,0.0270199049264192,0.09,0.07,172.57,0.0129578299820423,-0.0234424360096454,0.003756150137633,0.18,0.18,0.16
169.300586,240444617,-0.2080180495977401,-0.1030693799257278,172.58705139160156,-0.031988725066185,0.0355093926191329,0.0265583265572786,0.09,0.07,172.57,0.0129646211862564,-0.0233258828520774,0.0034236970823258,0.18,0.18,0.16
169.400546,240544577,-0.1325474828481674,-0.0666934251785278,172.58705139160156,-0.0320913717150688,0.0354552865028381,0.0260818507522344,0.09,0.07,172.57,0.0130506847053766,-0.0232800338417291,0.0032658423297107,0.18,0.18,0.16
169.500506,240644537,-0.0695775151252746,-0.0352146662771701,172.58705139160156,-0.0322116017341613,0.0354498401284217,0.0256039351224899,0.09,0.07,172.57,0.0130568137392401,-0.0231789704412221,0.0031488745007663,0.18,0.18,0.16
169.600466,240744497,-0.0335192121565341,-0.0170151833444833,172.58705139160156,-0.0322952196002006,0.0353985801339149,0.0251354966312646,0.09,0.07,172.57,0.0130904344841837,-0.0230949018150568,0.0030412152409553,0.18,0.18,0.16
169.700426,240844457,-0.0154119990766048,-0.0078369649127125,172.5870361328125,-0.0323995165526866,0.0354032889008522,0.0246671736240386,0.09,0.07,172.57,0.0131728146225214,-0.0230150297284126,0.0028768389020115,0.18,0.18,0.16
169.800386,240944417,-0.0068898713216185,-0.003507247660309,172.57327270507812,-0.0324616990983486,0.0353588461875915,0.0242067072540521,0.09,0.07,172.57,0.0132221207022666,-0.023002678528428,0.0027644427027553,0.18,0.18,0.16
169.900346,241044377,-0.0030251215212047,-0.0014214233960956,172.5733184814453,-0.0325509868562221,0.0353788435459136,0.0234626363962888,0.09,0.07,172.57,0.0132057610899209,-0.0229028984904289,0.002597986254841,0.18,0.18,0.16
170.000306,241144337,-0.0010965613182634,8.543396688764915e-06,172.57400512695312,-0.032603845000267,0.0353679060935974,0.0224423985928297,0.09,0.07,172.57,0.0132528292015194,-0.0228061936795711,0.0024383303243666,0.18,0.18,0.16
170.100266,241244297,0.0001740510488161,0.0005236607976257,172.5750732421875,-0.0326774381101131,0.03542460501194,0.0212749801576137,0.09,0.07,172.57,0.0133134443312883,-0.0226595234125852,0.0022095292806625,0.18,0.18,0.16
170.200226,241344257,0.0005110934143885,0.0004712448862846,172.5760040283203,-0.0327088311314582,0.0354481153190135,0.0200477726757526,0.09,0.07,172.57,0.0134041924029588,-0.0225209295749664,0.002012703102082,0.18,0.18,0.16
170.300186,241444217,0.0003377591492608,0.0001650122285354,172.5771026611328,-0.0327742062509059,0.035552479326725,0.018816914409399,0.09,0.07,172.57,0.0134687405079603,-0.0223298911005258,0.0018012014916166,0.18,0.18,0.16
170.400146,241544177,0.0001044156524585,-2.6369405532022935e-05,172.5780487060547,-0.0327873677015304,0.0356028601527214,0.0176188945770263,0.09,0.07,172.57,0.0135638704523444,-0.0221481304615736,0.0016230473993346,0.18,0.18,0.16
170.500106,241644137,0.0001044155942508,-2.636939643707592e-05,172.5792236328125,-0.0328301601111888,0.0357153490185737,0.0164675824344158,0.09,0.07,172.57,0.0135579789057374,-0.0219340100884437,0.0014060515677556,0.18,0.18,0.16
170.600066,241744097,0.000104415565147,-2.6369392799097117e-05,172.580078125,-0.0328475832939147,0.0357894301414489,0.0153757994994521,0.09,0.07,172.58,0.0135248219594359,-0.0217785350978374,0.0012727726716548,0.18,0.18,0.16
170.700026,241844057,0.0001044155869749,-2.6369383704150096e-05,172.5811767578125,-0.0328870266675949,0.0359079502522945,0.0143505362793803,0.08,0.07,172.58,0.0135463206097483,-0.0215365588665008,0.0011010924354195,0.18,0.18,0.16
170.800819,241944850,0.0001044156015268,-2.6369363695266657e-05,172.5818328857422,-0.0330306068062782,0.0362136662006378,0.0132667385041713,0.08,0.07,172.58,0.0134523818269371,-0.021199095994234,0.0008976040990091,0.18,0.18,0.16
170.900779,242044810,0.0001044156597345,-2.636936005728785e-05,172.58294677734375,-0.0331487208604812,0.0364660322666168,0.0123730497434735,0.08,0.07,172.58,0.0133545910939574,-0.0208218693733215,0.0007180853863246,0.18,0.18,0.16
171.000739,242144770,0.0001044156961143,-2.636934550537262e-05,172.58372497558594,-0.0331104472279548,0.0364850610494613,0.0115380212664604,0.08,0.07,172.58,0.0133972382172942,-0.0206817332655191,0.0005739305634051,0.18,0.18,0.16
171.100699,242244730,0.0001044157252181,-2.63693327724468e-05,172.58465576171875,-0.0332320258021354,0.036761101335287,0.0107575645670294,0.08,0.07,172.58,0.0133602758869528,-0.0203194562345743,0.0005027668667025,0.18,0.18,0.16
171.200659,242344690,0.0001044156742864,-2.63693327724468e-05,172.58567810058594,-0.0331963002681732,0.0368061289191246,0.0100378869101405,0.08,0.07,172.58,0.0133408652618527,-0.0200844407081604,0.0004523573734331,0.18,0.18,0.16
