t_sec,TimeUS,DesRoll,DesPitch,DesYaw,PN,PE,PD,Roll,Pitch,Yaw,VN,VE,VD,GX,GY,GZ
5.899306,60544939,-0.0001420833723386,8.693447307450697e-05,354.67010498046875,-0.0038070029113441,0.0044578309170901,-0.0035702509339898,0.14,0.13,354.67,-0.0084767984226346,0.0100808274000883,-8.312666068377439e-06,0.02,0.02,-0.06
5.999266,60644899,-0.0001420833723386,8.693444397067651e-05,354.6664428710937,-0.004001909866929,0.0046960487961769,-0.003574214875698,0.14,0.13,354.66,-0.0088731069117784,0.0104995844885706,-2.586155460448936e-06,0.02,0.02,-0.06
6.099226,60744859,-0.000142083314131,8.693442214280367e-05,354.6626892089844,-0.0042877262458205,0.0050369966775178,-0.0035753259435296,0.14,0.13,354.66,-0.0092970123514533,0.0109994858503341,-1.1858547622978222e-05,0.02,0.02,-0.06
6.200019,60845652,-0.000142083299579,8.693436393514276e-05,354.65887451171875,-0.0044992379844188,0.0052897469140589,-0.0035811797715723,0.15,0.14,354.65,-0.0096731362864375,0.0113979130983352,-3.1134655728237703e-05,0.02,0.02,-0.06
6.299979,60945612,-0.0001420833432348,8.693437848705798e-05,354.65484619140625,-0.0048008700832724,0.0056443526409566,-0.0035879495553672,0.15,0.14,354.65,-0.0100879427045583,0.0118948966264724,-5.712681377190165e-05,0.02,0.02,-0.06
6.399939,61045572,-0.0001420833577867,8.693436393514276e-05,354.6509094238281,-0.0050111408345401,0.0058961943723261,-0.0035936210770159,0.15,0.14,354.65,-0.0104105286300182,0.0122945103794336,-5.689350655302405e-05,0.02,0.02,-0.06
6.499899,61145532,-0.0001420833577867,8.693436393514276e-05,354.6467590332031,-0.0053204479627311,0.0062648598104715,-0.003603569464758,0.15,0.14,354.64,-0.0107929399237036,0.0127281732857227,-0.0001034195665852,0.02,0.02,-0.06
6.599859,61245492,-0.0001420833286829,8.693432755535468e-05,354.6428527832031,-0.0055308872833848,0.0065129962749779,-0.0036117082927376,0.15,0.14,354.64,-0.0110936854034662,0.0130542265251278,-9.431603393750264e-05,0.02,0.02,-0.06
6.699819,61345452,-0.0001420833432348,8.693430572748184e-05,354.6387939453125,-0.0058423387818038,0.006882295012474,-0.0036188093945384,0.15,0.14,354.63,-0.0114537645131349,0.0135212885215878,-9.389375918544828e-05,0.02,0.02,-0.06
6.799779,61445412,-0.0001420834014425,8.693430572748184e-05,354.6351013183594,-0.0060516698285937,0.0071285432204604,-0.0036225842777639,0.15,0.14,354.63,-0.0118022188544273,0.0138890324160456,-0.0001005000231089,0.02,0.02,-0.06
6.899739,61545372,-0.000142083314131,8.693425479577854e-05,354.63134765625,-0.0063779219053685,0.0075115370564162,-0.0036294325254857,0.15,0.14,354.63,-0.0122635317966341,0.0144157605245709,-0.0001167771260952,0.02,0.02,-0.06
6.999699,61645332,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0065978663042187,0.0077657103538513,-0.0036320150829851,0.16,0.15,354.62,-0.0125785702839493,0.0147624025121331,-8.569730562157929e-05,0.02,0.02,-0.06
7.099659,61745292,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.006933650933206,0.0081580001860857,-0.0036362127866595,0.16,0.15,354.62,-0.0129776522517204,0.0152468886226415,-0.0001319167640758,0.02,0.02,-0.06
7.199619,61845252,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0071531124413013,0.0084130186587572,-0.0036410342436283,0.16,0.15,354.62,-0.0132792554795742,0.0156101221218705,-0.0001130020682467,0.02,0.02,-0.06
7.299579,61945212,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0074870833195745,0.0088022882118821,-0.0036461662966758,0.16,0.15,354.61,-0.0136676263064146,0.0160585660487413,-0.0001167095833807,0.02,0.02,-0.06
7.399539,62045172,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0076993079856038,0.0090551888570189,-0.0036494426894932,0.16,0.15,354.61,-0.0138843171298503,0.0163859520107507,-9.12300674826838e-05,0.02,0.02,-0.06
7.499499,62145132,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0080369841307401,0.009456499479711,-0.0036534639075398,0.16,0.15,354.6,-0.0142510496079921,0.0168000999838113,-0.0001227294560521,0.02,0.02,-0.06
7.599459,62245092,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0082391155883669,0.0097000924870371,-0.0036569919902831,0.16,0.15,354.6,-0.0144664831459522,0.0170955043286085,-0.0001133525001932,0.02,0.02,-0.06
7.699419,62345052,-0.000142083314131,8.693424024386331e-05,354.6307373046875,-0.0085859019309282,0.0101180421188473,-0.003768092021346,0.16,0.15,354.6,-0.0148338628932833,0.0175560358911752,-0.0089617986232042,0.02,0.03,-0.06
7.799379,62445012,-0.0376337356865406,-0.0382470674812793,354.6307678222656,-0.0088807782158255,0.0104723675176501,-0.0081956507638096,0.16,0.15,354.59,-0.0152769712731242,0.0180796347558498,-0.0688453167676925,0.02,0.03,-0.06
7.899339,62544972,-0.1056608408689498,-0.1077668219804763,354.630859375,-0.0092067327350378,0.0108613278716802,-0.0186496041715145,0.16,0.15,354.59,-0.0157503560185432,0.0186040885746479,-0.1262175887823104,0.02,0.03,-0.06
7.999299,62644932,-0.1527915596961975,-0.1560413092374801,354.6309509277344,-0.009495660662651,0.0112040378153324,-0.0342112407088279,0.16,0.15,354.58,-0.016138581559062,0.0190531704574823,-0.1794023662805557,0.02,0.03,-0.06
8.099259,62744892,-0.1763482689857483,-0.1802820116281509,354.6310119628906,-0.0098139513283967,0.0115796802565455,-0.0547371096909046,0.17,0.16,354.58,-0.0165530145168304,0.0195216089487075,-0.2322699576616287,0.02,0.03,-0.06
