aggregation_level,baseline_name,axis,component,source_prediction_file,n,mean_residual,std_residual,mae,rmse,max_abs_residual,p95_abs_residual,p99_abs_residual,p995_abs_residual,mean_abs_plus_3std_abs_threshold,recommended_threshold
per_baseline,baseline_02_high_altitude_hover_ATT,Pitch,naive,PHASE3B_RESIDUAL_CSV,282,-2.145846473411663e-06,0.0019186931856779463,0.0010724980516213457,0.0019152894282225522,0.0084164515137672,0.004456840083002899,0.0071780462563037365,0.007758080288767772,0.005841500463663011,0.007758080288767772
per_baseline,baseline_02_high_altitude_hover_ATT,Pitch,cv,PHASE3B_RESIDUAL_CSV,282,-4.876325739161113e-06,0.0018733749567744705,0.001098784994571719,0.0018700567777894497,0.0076430290937423,0.004317790642380619,0.005804347395896964,0.006399446986615595,0.0056464649816344616,0.006399446986615595
per_baseline,baseline_02_high_altitude_hover_ATT,Pitch,arx,PHASE3B_RESIDUAL_CSV,282,0.001428045948243045,0.0032659002449355553,0.002677474342189381,0.0035591567224386553,0.0205071602039588,0.005340658594352445,0.013134727574992342,0.016839598156247783,0.009724790521465455,0.016839598156247783
per_baseline,baseline_02_high_altitude_hover_ATT,Yaw,hybrid,PHASE3B_RESIDUAL_CSV,282,-0.000358657295845561,0.002249611001843415,0.0010384201157996047,0.00227407976876349,0.0170562744141307,0.0037747955322458026,0.010773056030305884,0.014841491699209399,0.007118650256924668,0.014841491699209399
per_baseline,baseline_02_high_altitude_hover_ATT,Yaw,naive,PHASE3B_RESIDUAL_CSV,282,-0.0006481197708887416,0.0037452469798438678,0.0016664545586760498,0.0037943633835163687,0.025604248046875,0.00688323974609374,0.02071533203125,0.02297103881835929,0.01191112531758372,0.02297103881835929
per_baseline,baseline_02_high_altitude_hover_ATT,Yaw,cv,PHASE3B_RESIDUAL_CSV,282,-4.869826293921546e-06,0.0013538666530188768,0.0005963913937830361,0.001351472822236373,0.0127258300781818,0.0029296875,0.004436340332031248,0.006748046874932262,0.004241150946924145,0.006748046874932262
per_baseline,baseline_02_high_altitude_hover_ATT,Yaw,arx,PHASE3B_RESIDUAL_CSV,282,-0.007698908858729737,0.007011153675259633,0.007959265813410917,0.010404574015219272,0.03694834445281,0.01808838516857059,0.032281311620301935,0.034003310223195755,0.028098418718357436,0.034003310223195755
per_baseline,baseline_03_forward_motion_ATT,Roll,hybrid,PHASE3B_RESIDUAL_CSV,227,0.0011105837562626066,0.0021448473707409857,0.0020531024173063555,0.002411120190956565,0.0090983037396686,0.004749068985973217,0.0068214746450331815,0.0069849967489739985,0.005854166388794416,0.0069849967489739985
per_baseline,baseline_03_forward_motion_ATT,Roll,naive,PHASE3B_RESIDUAL_CSV,227,0.00015870232282755366,0.0019086802712411648,0.0011040376999829386,0.0019110724949526951,0.0098005235195158,0.004190503060817634,0.0064452545344828825,0.007264164537191263,0.005794090026235647,0.007264164537191263
per_baseline,baseline_03_forward_motion_ATT,Roll,cv,PHASE3B_RESIDUAL_CSV,227,-1.2363598472717867e-05,0.0023931720529368006,0.0013942856686230396,0.0023879269373883395,0.0106413513422013,0.005383688956498989,0.006863997578620741,0.007758641093969176,0.007222932521280029,0.007758641093969176
per_baseline,baseline_03_forward_motion_ATT,Roll,arx,PHASE3B_RESIDUAL_CSV,227,0.005345774293253493,0.004447519362013586,0.006009658358985434,0.00694770414010713,0.0167065191936174,0.009355810696937968,0.016236800274327386,0.016580176095797507,0.016491806314114364,0.016580176095797507
per_baseline,baseline_03_forward_motion_ATT,Pitch,hybrid,PHASE3B_RESIDUAL_CSV,227,0.002739374156972305,0.004114081223358385,0.00401656815708613,0.004935106147432476,0.0175390831653643,0.008094560637036126,0.016189851898087994,0.016685844459020067,0.012638025061159908,0.016685844459020067
per_baseline,baseline_03_forward_motion_ATT,Pitch,naive,PHASE3B_RESIDUAL_CSV,227,4.524465174401215e-05,0.0019023343066050683,0.0010884905045252646,0.0018986786743403947,0.0084773898124694,0.004812474176287589,0.0068651464581489866,0.007020324915647464,0.0057658723134285704,0.007020324915647464
