x,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
4.199986,0,0.1230276003479957,0.1230276003479957,0.1184818247560121,0.004545775591983603,0.004545775591983603,0.006861,0,8.0,0.009361467388117741,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.299946,0,0.1247330978512764,0.1247330978512764,0.1192565326490247,0.005476565202251704,0.005476565202251704,0.006861,0,7.0,0.008857041551255641,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.399906,0,0.1265128701925277,0.1265128701925277,0.1226625083748732,0.0038503618176544824,0.0038503618176544824,0.006861,0,6.0,0.00840419996600401,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.499866,0,0.1282849460840225,0.1282849460840225,0.1245125026324022,0.003772443451620297,0.003772443451620297,0.006861,0,5.0,0.00766516428619556,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.599826,0,0.1302604526281356,0.1302604526281356,0.1186128589958489,0.011647593632286693,0.011647593632286693,0.006861,1,6.0,0.008318238804364449,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.699786,0,0.1321337670087814,0.1321337670087814,0.1193472632561259,0.012786503752655512,0.012786503752655512,0.006861,1,6.0,0.008830052344600041,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.799746,0,0.133887231349945,0.133887231349945,0.1230383234191206,0.010848907930824409,0.010848907930824409,0.006861,1,6.0,0.008901798249327292,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.899706,0,0.1358433812856674,0.1358433812856674,0.1137986541902374,0.022044727095429997,0.022044727095429997,0.006861,1,6.0,0.01018397529430459,1,0,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
4.999666,0,0.1377459317445755,0.1377459317445755,0.1191152567206386,0.018630675023936907,0.018630675023936907,0.006861,1,6.0,0.010859865804449021,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
5.099626,0,0.1395359486341476,0.1395359486341476,0.112256536184922,0.02727941244922559,0.02727941244922559,0.006861,1,6.0,0.01208829659478692,1,1,1,baseline_02_high_altitude_hover,Roll,pulse,W10_N3_mean1.5x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Roll_hybrid_prediction
