baseline,axis,attack_type,threshold_method,dynamic_method_detail,dynamic_note,W,N,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples,n_eval_samples,input_segment_csv
baseline_03_forward_motion,Pitch,pulse,scenario_specific,,,10,3,8,10,207,2,0.4444444444444444,0.8,0.5714285714285714,0.04608294930875576,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,pulse,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,8,12,205,2,0.4,0.8,0.5333333333333333,0.055299539170506916,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,ramp,static_global,,,10,3,52,7,152,16,0.8813559322033898,0.7647058823529411,0.8188976377952756,0.0440251572327044,16,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,ramp,scenario_specific,,,10,3,52,7,152,16,0.8813559322033898,0.7647058823529411,0.8188976377952756,0.0440251572327044,16,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Pitch,ramp,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,58,7,152,10,0.8923076923076924,0.8529411764705882,0.8721804511278195,0.0440251572327044,10,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Pitch_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,bias,static_global,,,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,bias,scenario_specific,,,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,bias,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,pulse,static_global,,,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,pulse,scenario_specific,,,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,pulse,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,ramp,static_global,,,10,3,50,7,152,18,0.8771929824561403,0.7352941176470589,0.8,0.0440251572327044,18,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,ramp,scenario_specific,,,10,3,56,7,152,12,0.8888888888888888,0.8235294117647058,0.8549618320610687,0.0440251572327044,12,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Roll,ramp,dynamic_xkf1,dynamic_xkf1,XKF1 dynamic threshold from /home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_XKF1.csv,10,3,56,7,152,12,0.8888888888888888,0.8235294117647058,0.8549618320610687,0.0440251572327044,12,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Roll_ramp_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,bias,static_global,,,10,3,15,0,159,53,1.0,0.22058823529411764,0.36144578313253006,0.0,49,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,bias,scenario_specific,,,10,3,66,7,152,2,0.9041095890410958,0.9705882352941176,0.9361702127659575,0.0440251572327044,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,bias,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,15,0,159,53,1.0,0.22058823529411764,0.36144578313253006,0.0,49,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_bias_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,pulse,static_global,,,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,pulse,scenario_specific,,,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,pulse,yaw_static_global,yaw_static_global,Yaw uses conservative static global threshold,10,3,8,7,210,2,0.5333333333333333,0.8,0.64,0.03225806451612903,2,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_pulse_aligned_attacked_segment.csv
baseline_03_forward_motion,Yaw,ramp,static_global,,,10,3,19,7,152,49,0.7307692307692307,0.27941176470588236,0.4042553191489362,0.0440251572327044,49,227,/home/tchowdh4/sensor_recovery_project/attack_detection_v9_corrected/aligned_attacked_segments/baseline_03_forward_motion_Yaw_ramp_aligned_attacked_segment.csv
